Order1,15.5,District1,2023-10-22 14:00:00
Order2,10.2,District2,2023-10-22 14:05:00
Order3,8.7,District1,2023-10-22 14:10:00
Order4,12.0,District3,2023-10-22 14:15:00
Order5,5.5,District1,2023-10-22 14:20:00
Order6,11.0,District2,2023-10-22 14:25:00
Order7,6.4,District1,2023-10-22 14:30:00
Order8,9.8,District3,2023-10-22 14:35:00
Order9,4.5,District2,2023-10-22 14:40:00
Order10,13.5,District1,2023-10-22 14:45:00
Order11,7.2,District3,2023-10-22 14:50:00
Order12,14.1,District1,2023-10-22 14:55:00
Order13,8.3,District2,2023-10-22 15:00:00
Order14,10.9,District3,2023-10-22 15:05:00
Order15,12.3,District1,2023-10-22 17:15:00
Order16,5.7,District2,2023-10-22 17:20:00
Order17,6.9,District1,2023-10-22 17:25:00
Order18,9.4,District3,2023-10-22 17:30:00
Order19,3.8,District2,2023-10-22 17:35:00
Order20,11.5,District1,2023-10-22 17:40:00
